"department","total_count","termination_count","termination_rate"
"Auditing","50","9","0.18"
"Legal","299","42","0.14"
"Training","1622","205","0.13"
"Support","903","106","0.12"
"Engineering","6387","749","0.12"
"Research and Development","1032","126","0.12"
"Sales","1745","202","0.12"
"Accounting","3192","373","0.12"
"Human Resources","1727","208","0.12"
"Services","1618","184","0.11"
"Business Development","1569","165","0.11"
"Product Management","623","71","0.11"
"Marketing","480","46","0.10"
